Domain,Area,Element,Item,Year,Unit,Value,Note
Agriculture Total,Azerbaijan,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.2668,
Agriculture Total,Azerbaijan,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.3056,
Agriculture Total,Azerbaijan,Emissions (N2O),Manure left on Pasture,2010,gigagrams,7.6402,
Agriculture Total,Bahamas,Emissions (N2O),Manure Management,2010,gigagrams,0.0065,
Agriculture Total,Bahamas,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0165,
Agriculture Total,Bahamas,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.025,
Agriculture Total,Bahrain,Emissions (N2O),Manure Management,2010,gigagrams,0.0008,
Agriculture Total,Bahrain,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0537,
Agriculture Total,Bahrain,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0021,
Agriculture Total,Bahrain,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0454,
Agriculture Total,Bangladesh,Emissions (N2O),Manure Management,2010,gigagrams,1.4568,
Agriculture Total,Bangladesh,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,24.2947,
Agriculture Total,Bangladesh,Emissions (N2O),Manure applied to Soils,2010,gigagrams,4.9983,
Agriculture Total,Bangladesh,Emissions (N2O),Manure left on Pasture,2010,gigagrams,28.5899,
Agriculture Total,Barbados,Emissions (N2O),Manure Management,2010,gigagrams,0.0134,
Agriculture Total,Barbados,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0091,
Agriculture Total,Barbados,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0298,
Agriculture Total,Barbados,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0476,
Agriculture Total,Belarus,Emissions (N2O),Manure Management,2010,gigagrams,2.9175,
Agriculture Total,Belarus,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,11.0333,
Agriculture Total,Belarus,Emissions (N2O),Manure applied to Soils,2010,gigagrams,4.24,
Agriculture Total,Belarus,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.8839,
Agriculture Total,Belgium,Emissions (N2O),Manure Management,2010,gigagrams,2.0652,
Agriculture Total,Belgium,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,3.5653,
Agriculture Total,Belgium,Emissions (N2O),Manure applied to Soils,2010,gigagrams,3.3235,
Agriculture Total,Belgium,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.7756,
Agriculture Total,Belize,Emissions (N2O),Manure Management,2010,gigagrams,0.0088,
Agriculture Total,Belize,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0475,
Agriculture Total,Belize,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0189,
Agriculture Total,Belize,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1606,
Agriculture Total,Benin,Emissions (N2O),Manure Management,2010,gigagrams,0.2147,
Agriculture Total,Benin,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.2515,
Agriculture Total,Benin,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.2448,
Agriculture Total,Benin,Emissions (N2O),Manure left on Pasture,2010,gigagrams,4.1857,
Agriculture Total,Bermuda,Emissions (N2O),Manure Management,2010,gigagrams,0.0007,
Agriculture Total,Bermuda,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0011,
Agriculture Total,Bermuda,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0014,
Agriculture Total,Bhutan,Emissions (N2O),Manure Management,2010,gigagrams,0.0097,
Agriculture Total,Bhutan,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0143,
Agriculture Total,Bhutan,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0475,
Agriculture Total,Bhutan,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.2395,
Agriculture Total,Bolivia (Plurinational State of),Emissions (N2O),Manure Management,2010,gigagrams,1.1207,
Agriculture Total,Bolivia (Plurinational State of),Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.374,
Agriculture Total,Bolivia (Plurinational State of),Emissions (N2O),Manure applied to Soils,2010,gigagrams,2.0188,
Agriculture Total,Bolivia (Plurinational State of),Emissions (N2O),Manure left on Pasture,2010,gigagrams,18.4892,
Agriculture Total,Bosnia and Herzegovina,Emissions (N2O),Manure Management,2010,gigagrams,0.5036,
Agriculture Total,Bosnia and Herzegovina,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.2764,
Agriculture Total,Bosnia and Herzegovina,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.7924,
Agriculture Total,Bosnia and Herzegovina,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.6894,
Agriculture Total,Botswana,Emissions (N2O),Manure Management,2010,gigagrams,0.0499,
Agriculture Total,Botswana,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.4152,
Agriculture Total,Botswana,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0959,
Agriculture Total,Botswana,Emissions (N2O),Manure left on Pasture,2010,gigagrams,4.9961,
Agriculture Total,Brazil,Emissions (N2O),Manure Management,2010,gigagrams,15.5106,
Agriculture Total,Brazil,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,64.3687,
Agriculture Total,Brazil,Emissions (N2O),Manure applied to Soils,2010,gigagrams,38.848,
Agriculture Total,Brazil,Emissions (N2O),Manure left on Pasture,2010,gigagrams,328.7294,
Agriculture Total,British Virgin Islands,Emissions (N2O),Manure Management,2010,gigagrams,0.0005,
Agriculture Total,British Virgin Islands,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.001,
Agriculture Total,British Virgin Islands,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0085,
Agriculture Total,Brunei Darussalam,Emissions (N2O),Manure Management,2010,gigagrams,0.0287,
Agriculture Total,Brunei Darussalam,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0126,
Agriculture Total,Brunei Darussalam,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0731,
Agriculture Total,Brunei Darussalam,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1069,
Agriculture Total,Bulgaria,Emissions (N2O),Manure Management,2010,gigagrams,0.5383,
Agriculture Total,Bulgaria,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,5.6245,
Agriculture Total,Bulgaria,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.9086,
Agriculture Total,Bulgaria,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.8128,
Agriculture Total,Burkina Faso,Emissions (N2O),Manure Management,2010,gigagrams,1.1589,
Agriculture Total,Burkina Faso,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.8562,
Agriculture Total,Burkina Faso,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.1328,
Agriculture Total,Burkina Faso,Emissions (N2O),Manure left on Pasture,2010,gigagrams,20.2429,
Agriculture Total,Burundi,Emissions (N2O),Manure Management,2010,gigagrams,0.1217,
Agriculture Total,Burundi,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0404,
Agriculture Total,Burundi,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1134,
Agriculture Total,Burundi,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.7339,
Agriculture Total,Cabo Verde,Emissions (N2O),Manure Management,2010,gigagrams,0.1058,
Agriculture Total,Cabo Verde,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0793,
Agriculture Total,Cabo Verde,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1124,
Agriculture Total,Cambodia,Emissions (N2O),Manure Management,2010,gigagrams,2.9643,
Agriculture Total,Cambodia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.4377,
Agriculture Total,Cambodia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.4848,
Agriculture Total,Cambodia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,3.522,
Agriculture Total,Cameroon,Emissions (N2O),Manure Management,2010,gigagrams,1.062,
Agriculture Total,Cameroon,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.5301,
Agriculture Total,Cameroon,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.9111,
Agriculture Total,Cameroon,Emissions (N2O),Manure left on Pasture,2010,gigagrams,10.5925,
Agriculture Total,Canada,Emissions (N2O),Manure Management,2010,gigagrams,5.8009,
Agriculture Total,Canada,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,42.7102,
Agriculture Total,Canada,Emissions (N2O),Manure applied to Soils,2010,gigagrams,5.3235,
Agriculture Total,Canada,Emissions (N2O),Manure left on Pasture,2010,gigagrams,16.8841,
Agriculture Total,Cayman Islands,Emissions (N2O),Manure Management,2010,gigagrams,0.0003,
Agriculture Total,Cayman Islands,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0008,
Agriculture Total,Cayman Islands,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0035,
Agriculture Total,Central African Republic,Emissions (N2O),Manure Management,2010,gigagrams,0.5477,
Agriculture Total,Central African Republic,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0046,
Agriculture Total,Central African Republic,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.4738,
Agriculture Total,Central African Republic,Emissions (N2O),Manure left on Pasture,2010,gigagrams,7.6335,
Agriculture Total,Chad,Emissions (N2O),Manure Management,2010,gigagrams,0.1669,
Agriculture Total,Chad,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.305,
Agriculture Total,Chad,Emissions (N2O),Manure left on Pasture,2010,gigagrams,16.6915,
Agriculture Total,Chile,Emissions (N2O),Manure Management,2010,gigagrams,1.1704,
Agriculture Total,Chile,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,7.2551,
Agriculture Total,Chile,Emissions (N2O),Manure applied to Soils,2010,gigagrams,2.6228,
Agriculture Total,Chile,Emissions (N2O),Manure left on Pasture,2010,gigagrams,7.9012,
Agriculture Total,China,Emissions (N2O),Manure Management,2010,gigagrams,127.9615,
Agriculture Total,China,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,618.4884,
Agriculture Total,China,Emissions (N2O),Manure applied to Soils,2010,gigagrams,114.8719,
Agriculture Total,China,Emissions (N2O),Manure left on Pasture,2010,gigagrams,221.9623,
Agriculture Total,"China, Hong Kong SAR",Emissions (N2O),Manure Management,2010,gigagrams,0.0201,
Agriculture Total,"China, Hong Kong SAR",Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0322,
Agriculture Total,"China, Hong Kong SAR",Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0214,
Agriculture Total,"China, Hong Kong SAR",Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0143,
Agriculture Total,"China, Macao SAR",Emissions (N2O),Manure Management,2010,gigagrams,0.0012,
Agriculture Total,"China, Macao SAR",Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0033,
Agriculture Total,"China, Macao SAR",Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0046,
Agriculture Total,"China, mainland",Emissions (N2O),Manure Management,2010,gigagrams,127.072,
Agriculture Total,"China, mainland",Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,614.8948,
Agriculture Total,"China, mainland",Emissions (N2O),Manure applied to Soils,2010,gigagrams,113.7157,
Agriculture Total,"China, mainland",Emissions (N2O),Manure left on Pasture,2010,gigagrams,220.9262,
Agriculture Total,"China, Taiwan Province of",Emissions (N2O),Manure Management,2010,gigagrams,0.8681,
Agriculture Total,"China, Taiwan Province of",Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,3.5614,
Agriculture Total,"China, Taiwan Province of",Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.1316,
Agriculture Total,"China, Taiwan Province of",Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.0172,
Agriculture Total,Colombia,Emissions (N2O),Manure Management,2010,gigagrams,2.1727,
Agriculture Total,Colombia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,11.2172,
Agriculture Total,Colombia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,6.9346,
Agriculture Total,Colombia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,42.2818,
Agriculture Total,Comoros,Emissions (N2O),Manure Management,2010,gigagrams,0.0014,
Agriculture Total,Comoros,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0037,
Agriculture Total,Comoros,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1338,
Agriculture Total,Congo,Emissions (N2O),Manure Management,2010,gigagrams,0.0457,
Agriculture Total,Congo,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0023,
Agriculture Total,Congo,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.04,
Agriculture Total,Congo,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.6541,
Agriculture Total,Cook Islands,Emissions (N2O),Manure Management,2010,gigagrams,0.0038,
Agriculture Total,Cook Islands,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0001,
Agriculture Total,Cook Islands,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0046,
Agriculture Total,Cook Islands,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0008,
Agriculture Total,Costa Rica,Emissions (N2O),Manure Management,2010,gigagrams,0.1991,
Agriculture Total,Costa Rica,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.2744,
Agriculture Total,Costa Rica,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.6429,
Agriculture Total,Costa Rica,Emissions (N2O),Manure left on Pasture,2010,gigagrams,2.0369,
Agriculture Total,Côte d'Ivoire,Emissions (N2O),Manure Management,2010,gigagrams,0.2126,
Agriculture Total,Côte d'Ivoire,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.5564,
Agriculture Total,Côte d'Ivoire,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.2472,
Agriculture Total,Côte d'Ivoire,Emissions (N2O),Manure left on Pasture,2010,gigagrams,3.8557,
Agriculture Total,Croatia,Emissions (N2O),Manure Management,2010,gigagrams,0.4543,
Agriculture Total,Croatia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,2.4444,
Agriculture Total,Croatia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.7266,
Agriculture Total,Croatia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.5401,
Agriculture Total,Cuba,Emissions (N2O),Manure Management,2010,gigagrams,0.5453,
Agriculture Total,Cuba,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.9611,
Agriculture Total,Cuba,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.0378,
Agriculture Total,Cuba,Emissions (N2O),Manure left on Pasture,2010,gigagrams,7.5098,
Agriculture Total,Cyprus,Emissions (N2O),Manure Management,2010,gigagrams,0.1788,
Agriculture Total,Cyprus,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.1757,
Agriculture Total,Cyprus,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1503,
Agriculture Total,Cyprus,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.3358,
Agriculture Total,Czechia,Emissions (N2O),Manure Management,2010,gigagrams,1.0548,
Agriculture Total,Czechia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,4.967,
Agriculture Total,Czechia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.6113,
Agriculture Total,Czechia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.6407,
Agriculture Total,Democratic People's Republic of Korea,Emissions (N2O),Manure Management,2010,gigagrams,0.6623,
Agriculture Total,Democratic People's Republic of Korea,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.5695,
Agriculture Total,Democratic People's Republic of Korea,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.8786,
Agriculture Total,Democratic Republic of the Congo,Emissions (N2O),Manure Management,2010,gigagrams,0.459,
Agriculture Total,Democratic Republic of the Congo,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0974,
Agriculture Total,Democratic Republic of the Congo,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.3861,
Agriculture Total,Democratic Republic of the Congo,Emissions (N2O),Manure left on Pasture,2010,gigagrams,2.9269,
Agriculture Total,Denmark,Emissions (N2O),Manure Management,2010,gigagrams,2.2531,
Agriculture Total,Denmark,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,3.75,
Agriculture Total,Denmark,Emissions (N2O),Manure applied to Soils,2010,gigagrams,3.8149,
Agriculture Total,Denmark,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.1728,
Agriculture Total,Djibouti,Emissions (N2O),Manure Management,2010,gigagrams,0.0071,
Agriculture Total,Djibouti,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0139,
Agriculture Total,Djibouti,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.8017,
Agriculture Total,Dominica,Emissions (N2O),Manure Management,2010,gigagrams,0.0023,
Agriculture Total,Dominica,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0024,
Agriculture Total,Dominica,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0088,
Agriculture Total,Dominica,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0226,
Agriculture Total,Dominican Republic,Emissions (N2O),Manure Management,2010,gigagrams,0.5159,
Agriculture Total,Dominican Republic,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.1257,
Agriculture Total,Dominican Republic,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.3525,
Agriculture Total,Dominican Republic,Emissions (N2O),Manure left on Pasture,2010,gigagrams,5.8372,
Agriculture Total,Ecuador,Emissions (N2O),Manure Management,2010,gigagrams,0.8129,
Agriculture Total,Ecuador,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,3.3126,
Agriculture Total,Ecuador,Emissions (N2O),Manure applied to Soils,2010,gigagrams,2.2369,
Agriculture Total,Ecuador,Emissions (N2O),Manure left on Pasture,2010,gigagrams,9.1446,
Agriculture Total,Egypt,Emissions (N2O),Manure Management,2010,gigagrams,0.3316,
Agriculture Total,Egypt,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,29.546,
Agriculture Total,Egypt,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.6255,
Agriculture Total,Egypt,Emissions (N2O),Manure left on Pasture,2010,gigagrams,19.1778,
Agriculture Total,El Salvador,Emissions (N2O),Manure Management,2010,gigagrams,0.1666,
Agriculture Total,El Salvador,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,1.534,
Agriculture Total,El Salvador,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.4041,
Agriculture Total,El Salvador,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.9643,
Agriculture Total,Equatorial Guinea,Emissions (N2O),Manure Management,2010,gigagrams,0.0033,
Agriculture Total,Equatorial Guinea,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0031,
Agriculture Total,Equatorial Guinea,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0262,
Agriculture Total,Eritrea,Emissions (N2O),Manure Management,2010,gigagrams,0.0473,
Agriculture Total,Eritrea,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0058,
Agriculture Total,Eritrea,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1011,
Agriculture Total,Eritrea,Emissions (N2O),Manure left on Pasture,2010,gigagrams,4.6907,
Agriculture Total,Estonia,Emissions (N2O),Manure Management,2010,gigagrams,0.1962,
Agriculture Total,Estonia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.5961,
Agriculture Total,Estonia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.2853,
Agriculture Total,Estonia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1913,
Agriculture Total,Eswatini,Emissions (N2O),Manure Management,2010,gigagrams,0.0275,
Agriculture Total,Eswatini,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0405,
Agriculture Total,Eswatini,Emissions (N2O),Manure left on Pasture,2010,gigagrams,1.1258,
Agriculture Total,Ethiopia,Emissions (N2O),Manure Management,2010,gigagrams,1.1093,
Agriculture Total,Ethiopia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,3.2511,
Agriculture Total,Ethiopia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,2.345,
Agriculture Total,Ethiopia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,104.3637,
Agriculture Total,Falkland Islands (Malvinas),Emissions (N2O),Manure Management,2010,gigagrams,0.0001,
Agriculture Total,Falkland Islands (Malvinas),Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0014,
Agriculture Total,Falkland Islands (Malvinas),Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1941,
Agriculture Total,Faroe Islands,Emissions (N2O),Manure Management,2010,gigagrams,0.0025,
Agriculture Total,Faroe Islands,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0045,
Agriculture Total,Faroe Islands,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0213,
Agriculture Total,Fiji,Emissions (N2O),Manure Management,2010,gigagrams,0.0895,
Agriculture Total,Fiji,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0507,
Agriculture Total,Fiji,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0899,
Agriculture Total,Fiji,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.7721,
Agriculture Total,Finland,Emissions (N2O),Manure Management,2010,gigagrams,0.7059,
Agriculture Total,Finland,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,4.3926,
Agriculture Total,Finland,Emissions (N2O),Manure applied to Soils,2010,gigagrams,1.0448,
Agriculture Total,Finland,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.7227,
Agriculture Total,France,Emissions (N2O),Manure Management,2010,gigagrams,12.9605,
Agriculture Total,France,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,42.5382,
Agriculture Total,France,Emissions (N2O),Manure applied to Soils,2010,gigagrams,20.3326,
Agriculture Total,France,Emissions (N2O),Manure left on Pasture,2010,gigagrams,16.1059,
Agriculture Total,French Guiana,Emissions (N2O),Manure Management,2010,gigagrams,0.0019,
Agriculture Total,French Guiana,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0033,
Agriculture Total,French Guiana,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0256,
Agriculture Total,French Polynesia,Emissions (N2O),Manure Management,2010,gigagrams,0.0062,
Agriculture Total,French Polynesia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0075,
Agriculture Total,French Polynesia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0083,
Agriculture Total,French Polynesia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.0227,
Agriculture Total,Gabon,Emissions (N2O),Manure Management,2010,gigagrams,0.0975,
Agriculture Total,Gabon,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0123,
Agriculture Total,Gabon,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0764,
Agriculture Total,Gabon,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.1798,
Agriculture Total,Gambia,Emissions (N2O),Manure Management,2010,gigagrams,0.0214,
Agriculture Total,Gambia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.0372,
Agriculture Total,Gambia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.0265,
Agriculture Total,Gambia,Emissions (N2O),Manure left on Pasture,2010,gigagrams,0.8959,
Agriculture Total,Georgia,Emissions (N2O),Manure Management,2010,gigagrams,0.0887,
Agriculture Total,Georgia,Emissions (N2O),Synthetic Fertilizers,2010,gigagrams,0.2689,
Agriculture Total,Georgia,Emissions (N2O),Manure applied to Soils,2010,gigagrams,0.1257,
